teacher,final_train_loss,validation_loss,teacher_generation_seconds,training_seconds,reverse_sampling_seconds,s2_rbf_mmd,nearest_neighbor_geodesic_mean,nearest_neighbor_geodesic_median,nearest_neighbor_geodesic_max,generated_sample_norm_error
heat,0.1452854981435127,35.9825671868243,61.68270891904831,77.87413874268532,77.9806781038642,0.021038364431889334,0.1605189464363118,0.11771110815275972,0.8729383962865026,1.3986208025063007e-17
varadhan,0.16607266918716967,39.675038848156746,25.690698064863682,78.30883127823472,78.24621738493443,0.01998307396185639,0.15559575263123385,0.11243675534547262,0.8216712748551539,1.431146867680866e-17
malliavin,0.1723874312807681,39.463331576405594,4334.892462618649,77.7491635158658,77.45655224099755,0.019369523550828105,0.1580001339379596,0.11143090197866759,0.8323655021888821,1.4148838350935833e-17
