seed,config_key,method,mmd_rbf,sliced_wasserstein,nan_rate,elapsed_seconds,var_H,var_residual,mean_residual_norm
0,baseline,mirafzali,0.0006200671195983887,1.283567508746918,0.0,203.9,,,
0,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,-6.383657455444336e-05,1.286126752327482,0.0,213.6,2.998028516769409,0.7719009518623352,0.8538531064987183
0,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,-1.043081283569336e-05,1.2867405582903784,0.0,217.25,2.998028516769409,0.7719009518623352,0.8538531064987183
0,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,-6.383657455444336e-05,1.2861490407664504,0.0,217.68,2.998028516769409,0.7719009518623352,0.8538531064987183
1,baseline,mirafzali,0.0008580982685089111,1.3015501749815397,0.0,205.67,,,
1,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.00043004751205444336,1.2932104733971284,0.0,213.55,3.038945198059082,0.836665153503418,0.8717871308326721
1,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.00030687451362609863,1.2929396123351966,0.0,217.41,3.038945198059082,0.836665153503418,0.8717871308326721
1,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.0002702176570892334,1.2949755819793198,0.0,218.05,3.038945198059082,0.836665153503418,0.8717871308326721
2,baseline,mirafzali,0.008789122104644775,1.2497667474613205,0.0,205.85,,,
2,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.00968971848487854,1.2518185461999556,0.0,213.86,3.032075881958008,0.7917302846908569,0.8625373840332031
2,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.009452491998672485,1.252427289392475,0.0,217.49,3.032075881958008,0.7917302846908569,0.8625373840332031
2,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.009524136781692505,1.2525394165164818,0.0,217.87,3.032075881958008,0.7917302846908569,0.8625373840332031
3,baseline,mirafzali,0.00031253695487976074,1.2863429258634236,0.0,206.27,,,
3,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.00010150671005249023,1.2864816866111908,0.0,213.57,3.0213229656219482,0.7821798920631409,0.8545035719871521
3,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0002225339412689209,1.2860640783202217,0.0,216.87,3.0213229656219482,0.7821798920631409,0.8545035719871521
3,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.00024119019508361816,1.2858327684331434,0.0,217.55,3.0213229656219482,0.7821798920631409,0.8545035719871521
4,baseline,mirafzali,0.0009909272193908691,1.292717852027613,0.0,205.55,,,
4,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.0005826950073242188,1.2890331721860124,0.0,213.64,3.0203521251678467,0.8102248907089233,0.8663460612297058
4,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0005910992622375488,1.289018790951336,0.0,217.31,3.0203521251678467,0.8102248907089233,0.8663460612297058
4,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.0006407499313354492,1.2894700111708295,0.0,217.87,3.0203521251678467,0.8102248907089233,0.8663460612297058
5,baseline,mirafzali,0.0006548762321472168,1.2848793785980543,0.0,205.46,,,
5,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.0009057521820068359,1.285836786485454,0.0,213.57,3.0358357429504395,0.8029779195785522,0.8634207844734192
5,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0009156167507171631,1.2855807587742667,0.0,217.09,3.0358357429504395,0.8029779195785522,0.8634207844734192
5,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.0008391439914703369,1.2853427925031224,0.0,218.28,3.0358357429504395,0.8029779195785522,0.8634207844734192
6,baseline,mirafzali,-8.940696716308594e-05,1.286925025655741,0.0,205.87,,,
6,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.0012049078941345215,1.2864163995958209,0.0,214.07,2.9987759590148926,0.7799472808837891,0.8556226491928101
6,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.001102834939956665,1.286802937053629,0.0,217.47,2.9987759590148926,0.7799472808837891,0.8556226491928101
6,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.0009354948997497559,1.287115655072273,0.0,217.87,2.9987759590148926,0.7799472808837891,0.8556226491928101
7,baseline,mirafzali,-8.07344913482666e-05,1.2807267680932164,0.0,205.43,,,
7,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.0007628500461578369,1.2797802186042793,0.0,213.85,3.0466105937957764,0.8055691719055176,0.8598752617835999
7,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0008542537689208984,1.2795683949817698,0.0,217.27,3.0466105937957764,0.8055691719055176,0.8598752617835999
7,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.0008553564548492432,1.2804786312936198,0.0,218.14,3.0466105937957764,0.8055691719055176,0.8598752617835999
8,baseline,mirafzali,0.0002442002296447754,1.289239920034926,0.0,205.85,,,
8,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.0012974739074707031,1.2870223249485013,0.0,213.9,3.0363657474517822,0.7950243353843689,0.8598567247390747
8,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0011607110500335693,1.2869143477924654,0.0,217.38,3.0363657474517822,0.7950243353843689,0.8598567247390747
