config_key,method,n_seeds,mmd_mean,mmd_std,sw_mean,sw_std,nan_rate_mean,mean_runtime
baseline,mirafzali,10,0.0014194130897521972,0.002654005178253747,1.2843903645902945,0.013437556882530701,0.0,205.58599999999996
residual_nw__a1.0_bw1.0,mirafzali_residual_nw,10,0.0015662014484405518,0.002886771479293882,1.283095077694135,0.011479244951633763,0.0,213.74499999999998
residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,10,0.0015357404947280884,0.002808106817085542,1.2830962169515614,0.011278550833400767,0.0,217.283
residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,10,0.0015068501234054565,0.002840902282132559,1.283405633589472,0.011446228134641507,0.0,217.936
