config_key,method,n_seeds,mmd_mean,mmd_std,sw_mean,sw_std,nan_rate_mean,mean_runtime
baseline,mirafzali,3,0.0019165873527526855,0.0004225733211795984,1.01504920537217,0.017115134718268636,0.0,205.74666666666667
residual_nw__a1.0_bw1.0,mirafzali_residual_nw,3,0.0012699564297993977,0.00017468090298167096,1.0150844848393965,0.019009268941196426,0.0,213.83333333333334
residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,3,0.0012299617131551106,0.00032302152173293284,1.0140478388037593,0.01734168044769017,0.0,217.46
residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,3,0.001157631476720174,0.0004176015608973061,1.0132602001276771,0.01767346725580591,0.0,218.25333333333333
