seed,config_key,method,mmd_rbf,sliced_wasserstein,nan_rate,elapsed_seconds,var_H,var_residual,mean_residual_norm
0,baseline,mirafzali,0.001691967248916626,1.0205405091348598,0.0,205.54,,,
0,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.001326829195022583,1.0143374235793396,0.0,213.58,3.04929518699646,1.959955096244812,1.3034626245498657
0,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.00128096342086792,1.0139008519664723,0.0,217.51,3.04929518699646,1.959955096244812,1.3034626245498657
0,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.001245737075805664,1.012527436982333,0.0,218.12,3.04929518699646,1.959955096244812,1.3034626245498657
1,baseline,mirafzali,0.0016537606716156006,1.0287447220522103,0.0,205.8,,,
1,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.0010739266872406006,1.0344562714494887,0.0,213.74,3.091417074203491,1.9920271635055542,1.3101394176483154
1,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0008844733238220215,1.031462545470098,0.0,217.33,3.091417074203491,1.9920271635055542,1.3101394176483154
1,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.0007030069828033447,1.0312886523171165,0.0,218.2,3.091417074203491,1.9920271635055542,1.3101394176483154
2,baseline,mirafzali,0.00240403413772583,0.9958623849294397,0.0,205.9,,,
2,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.0014091134071350098,0.9964597594893613,0.0,214.18,3.0860490798950195,1.9743692874908447,1.3105788230895996
2,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0015244483947753906,0.9967801189747072,0.0,217.54,3.0860490798950195,1.9743692874908447,1.3105788230895996
2,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.0015241503715515137,0.9959645110835826,0.0,218.44,3.0860490798950195,1.9743692874908447,1.3105788230895996
