teacher,final_train_loss,validation_loss,teacher_generation_seconds,training_seconds,reverse_sampling_seconds,s2_rbf_mmd,nearest_neighbor_geodesic_mean,nearest_neighbor_geodesic_median,nearest_neighbor_geodesic_max,generated_sample_norm_error
heat,0.20202203193326476,12.718838829982142,91.52407587692142,78.57364642247558,78.19648790732026,0.013845313877351773,0.14858327094451124,0.1102688129872803,0.8388013331377895,1.4582519219930035e-17
varadhan,0.19731277616062193,13.04475172334935,19.48691662028432,78.66146280243993,77.27470488101244,0.018357180831005127,0.1538102234395957,0.11251215579286557,0.8637537490383282,1.496198998029996e-17
malliavin,0.18816865564763946,10.181741748299872,5658.4633837379515,77.74870441854,92.18532506003976,0.0190347978772637,0.1396354558703893,0.10222778355832943,0.7998072660435644,1.4203048459560108e-17
