count,end_degrees,end_radians,malliavin_vs_heat_mean_cosine,malliavin_vs_heat_rmse,malliavin_vs_varadhan_mean_cosine,malliavin_vs_varadhan_rmse,start_degrees,start_radians,varadhan_vs_heat_mean_cosine,varadhan_vs_heat_rmse
354,27.891607395766346,0.48680038272972387,0.9844040958590954,0.11697940003621402,0.9844040958590954,0.12691017145574243,0.0,0.0,1.0,0.0330451546938727
492,55.78321479153269,0.9736007654594477,0.9960232364539743,0.1683843020094022,0.9960232364539743,0.2047704075748422,27.891607395766346,0.48680038272972387,1.0,0.07260642051348809
160,83.67482218729904,1.4604011481891717,0.9935823532084584,0.298098796134585,0.9935823532084584,0.34959643632586107,55.78321479153269,0.9736007654594477,1.0,0.12480027371823309
18,111.56642958306539,1.9472015309188955,0.938246818690918,1.1725920911711663,0.938246818690918,1.323662089826013,83.67482218729904,1.4604011481891717,1.0,0.21153643514930837
