seed,config_key,method,correction,mmd_rbf,sliced_wasserstein,nan_rate,elapsed_seconds,sim_seconds,teacher_seconds,forward_seconds,train_seconds,reverse_seconds,eval_seconds,total_seconds,var_H,var_residual,mean_residual_norm
0,approx_lowt_stationary,mirafzali,approx,-0.00014394521713256836,1.711978295757102,0.0,1116.8,3.095440963283181,0.4522431716322899,3.547684134915471,811.84111549519,298.4381890408695,0.9046436324715614,1116.7975218277425,,,
0,a_correction_lowt_stationary,mirafzali,a_correction,0.0007835924625396729,1.7348165851777606,0.0,1131.16,2.8978593852370977,0.002690175548195839,2.9005495607852936,827.1983676031232,298.15076582320035,0.9204411283135414,1131.1615810040385,,,
0,full_lowt_stationary,mirafzali,mirafzali_full,0.0032931268215179443,1.6051283412893855,0.0,1133.37,3.4739597402513027,0.003453189507126808,3.4774129297584295,828.3590908329934,298.66274439543486,0.8951512705534697,1133.366146048531,,,
1,approx_lowt_stationary,mirafzali,approx,-0.0001914501190185547,1.7029844685880269,0.0,1132.65,3.0848970878869295,0.09173526428639889,3.1766323521733284,829.4282071013004,298.2464642506093,0.9057633075863123,1132.6484932843596,,,
1,a_correction_lowt_stationary,mirafzali,a_correction,0.0016064643859863281,1.7348086162183267,0.0,1133.47,3.3187066074460745,0.0034515149891376495,3.322158122435212,830.6019086688757,298.07409032061696,0.8839321285486221,1133.4695063885301,,,
1,full_lowt_stationary,mirafzali,mirafzali_full,0.0021004676818847656,1.6112525949772396,0.0,1133.55,3.4585407562553883,0.0034560728818178177,3.461996829137206,829.9265400338918,298.6844345163554,0.882089776918292,1133.5506864488125,,,
2,approx_lowt_stationary,mirafzali,approx,-0.00013568997383117676,1.6982098452040355,0.0,1134.47,3.179013703018427,0.09157964028418064,3.2705933433026075,830.782364230603,298.4169909581542,0.8868266195058823,1134.4704991206527,,,
2,a_correction_lowt_stationary,mirafzali,a_correction,0.00199010968208313,1.7403201673081594,0.0,1135.07,3.3156979829072952,0.003467962145805359,3.3191659450531006,831.6136660929769,298.6428395938128,0.8962304629385471,1135.065759703517,,,
2,full_lowt_stationary,mirafzali,mirafzali_full,0.0016524791717529297,1.6108816125239438,0.0,1136.44,3.43683978356421,0.003428833559155464,3.4402686171233654,832.3559455387294,299.1706670559943,0.885063711553812,1136.43606274575,,,
3,approx_lowt_stationary,mirafzali,approx,0.0009274482727050781,1.7080579381165584,0.0,1135.99,3.160400280728936,0.09293565154075623,3.2533359322696924,831.6537175942212,299.33533703535795,0.8727781977504492,1135.9931030534208,,,
3,a_correction_lowt_stationary,mirafzali,a_correction,0.004367947578430176,1.7375986918928255,0.0,1135.21,2.9116454385221004,0.0027889441698789597,2.9144343826919794,832.3991012647748,298.4538880009204,0.8829210549592972,1135.2123211268336,,,
3,full_lowt_stationary,mirafzali,mirafzali_full,0.002682805061340332,1.6142000114968016,0.0,1135.16,2.877189515158534,0.0027336347848176956,2.8799231499433517,831.7207446433604,299.1165541820228,0.8798096179962158,1135.1551981512457,,,
4,approx_lowt_stationary,mirafzali,approx,0.0005450844764709473,1.7131730738201612,0.0,1134.08,3.1160193253308535,0.09191660396754742,3.207935929298401,830.5796556267887,298.51802301965654,0.8675796892493963,1134.0849161911756,,,
4,a_correction_lowt_stationary,mirafzali,a_correction,0.0016959309577941895,1.7339198834051854,0.0,1133.27,2.9236362632364035,0.002707935869693756,2.926344199106097,830.572923079133,298.35094994306564,0.8689144235104322,1133.267052238807,,,
4,full_lowt_stationary,mirafzali,mirafzali_full,0.0017341077327728271,1.6202320012905522,0.0,1133.96,2.864302858710289,0.0029597878456115723,2.8672626465559006,830.8411036673933,298.83444026485085,0.8588251564651728,1133.9606810901314,,,
