config_key,method,n_seeds,mmd_mean,mmd_std,sw_mean,sw_std,nan_rate_mean,mean_runtime
baseline,mirafzali,10,0.0016206204891204834,0.0017597088868599596,1.7518385581183682,0.10963440624211979,0.0,206.004
residual_nw__a1.0_bw1.0,mirafzali_residual_nw,10,0.0011908590793609619,0.0015205060169588454,1.7519137906083455,0.10887355747987243,0.0,214.208
residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,10,0.0011307388544082642,0.0014265086547312917,1.7511820786524048,0.10925985479940568,0.0,217.801
residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,10,0.0011383920907974243,0.0016595503768180198,1.7506412994033116,0.10869841595535015,0.0,218.38199999999998
