seed,config_key,method,mmd_rbf,sliced_wasserstein,nan_rate,elapsed_seconds,var_H,var_residual,mean_residual_norm
0,baseline,mirafzali,0.0003466010093688965,1.7147817754448824,0.0,204.97,,,
0,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.0006730854511260986,1.7145235252002131,0.0,214.11,2.9847326278686523,1.7268240451812744,1.257167935371399
0,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0004929006099700928,1.7136190311117578,0.0,218.14,2.9847326278686523,1.7268240451812744,1.257167935371399
0,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.00043720006942749023,1.712671014718689,0.0,218.75,2.9847326278686523,1.7268240451812744,1.257167935371399
1,baseline,mirafzali,-0.00020936131477355957,1.8182445549457447,0.0,205.96,,,
1,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.00023764371871948242,1.8244154186726922,0.0,214.09,2.9689364433288574,1.7118337154388428,1.2540369033813477
1,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.00033292174339294434,1.8220729166637475,0.0,217.74,2.9689364433288574,1.7118337154388428,1.2540369033813477
1,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.00023606419563293457,1.8217403025905947,0.0,218.33,2.9689364433288574,1.7118337154388428,1.2540369033813477
2,baseline,mirafzali,0.005315065383911133,1.6889068892131167,0.0,206.34,,,
2,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.004389286041259766,1.6762284245866486,0.0,214.21,2.97749662399292,1.735216498374939,1.2605361938476562
2,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.004324883222579956,1.6755753193334,0.0,217.59,2.97749662399292,1.735216498374939,1.2605361938476562
2,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.005009889602661133,1.6777038056942317,0.0,218.39,2.97749662399292,1.735216498374939,1.2605361938476562
3,baseline,mirafzali,0.002851039171218872,1.7402747210197558,0.0,206.21,,,
3,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.000969618558883667,1.719115621060221,0.0,214.15,2.9799623489379883,1.7887344360351562,1.2790799140930176
3,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0007439851760864258,1.7173068861418925,0.0,217.76,2.9799623489379883,1.7887344360351562,1.2790799140930176
3,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.0005804598331451416,1.719260574048385,0.0,217.9,2.9799623489379883,1.7887344360351562,1.2790799140930176
4,baseline,mirafzali,0.0017572343349456787,1.6802838406105602,0.0,205.95,,,
4,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.000436633825302124,1.7048399565405472,0.0,214.13,2.9670767784118652,1.7273606061935425,1.2601728439331055
4,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0005196928977966309,1.706044538196625,0.0,217.42,2.9670767784118652,1.7273606061935425,1.2601728439331055
4,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.0002753138542175293,1.7032565646244988,0.0,218.22,2.9670767784118652,1.7273606061935425,1.2601728439331055
5,baseline,mirafzali,0.00042116641998291016,1.7042061902103012,0.0,206.43,,,
5,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.0001201927661895752,1.7069038966893202,0.0,214.32,2.9914658069610596,1.7434473037719727,1.2626001834869385
5,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0001703798770904541,1.7061286856519517,0.0,217.86,2.9914658069610596,1.7434473037719727,1.2626001834869385
5,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.00021162629127502441,1.7056681412641728,0.0,218.49,2.9914658069610596,1.7434473037719727,1.2626001834869385
6,baseline,mirafzali,5.930662155151367e-05,1.7066304767785943,0.0,205.92,,,
6,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.00037917494773864746,1.7122473368068336,0.0,214.25,2.968728542327881,1.717391014099121,1.2559788227081299
6,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.00032338500022888184,1.711681986848624,0.0,217.97,2.968728542327881,1.717391014099121,1.2559788227081299
6,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.00011566281318664551,1.7097778287627003,0.0,218.37,2.968728542327881,1.717391014099121,1.2559788227081299
7,baseline,mirafzali,0.001695483922958374,1.712970423077211,0.0,205.88,,,
7,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.0004279017448425293,1.7088709188136884,0.0,214.1,2.9394283294677734,1.728417992591858,1.259592890739441
7,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0005499124526977539,1.7077013401955312,0.0,217.58,2.9394283294677734,1.728417992591858,1.259592890739441
7,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.0005964040756225586,1.707041141495988,0.0,218.17,2.9394283294677734,1.728417992591858,1.259592890739441
8,baseline,mirafzali,0.0033205747604370117,1.7079612875845627,0.0,206.1,,,
8,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.003654658794403076,1.7105249433338818,0.0,214.46,3.0043485164642334,1.72516930103302,1.2554535865783691
8,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0032233893871307373,1.7092027708110025,0.0,217.87,3.0043485164642334,1.72516930103302,1.2554535865783691
8,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.003354489803314209,1.7089011567389227,0.0,218.69,3.0043485164642334,1.72516930103302,1.2554535865783691
9,baseline,mirafzali,0.0006490945816040039,2.0441254222989516,0.0,206.28,,,
9,residual_nw__a1.0_bw1.0,mirafzali_residual_nw,0.0006203949451446533,2.041467864379409,0.0,214.26,2.9811761379241943,1.7357800006866455,1.261982798576355
9,residual_knn_nw__a1.0_k128_bw0.5,mirafzali_residual_knn_nw,0.0006259381771087646,2.0424873115695146,0.0,218.08,2.9811761379241943,1.7357800006866455,1.261982798576355
9,residual_knn_nw__a1.0_k1024_bw0.5,mirafzali_residual_knn_nw,0.0005668103694915771,2.0403924640949334,0.0,218.51,2.9811761379241943,1.7357800006866455,1.261982798576355
