config_key,method,correction,n_seeds,mmd_mean,mmd_std,sw_mean,sw_std,nan_rate_mean,mean_runtime,sim_seconds_mean,teacher_seconds_mean,forward_seconds_mean,train_seconds_mean,reverse_seconds_mean,eval_seconds_mean,total_seconds_mean
approx_lowt_stationary,mirafzali,approx,1,-0.00014394521713256836,,1.711978295757102,,0.0,1113.61,3.141860708594322,0.3936919402331114,3.5355526488274336,809.4823374450207,297.9235696531832,2.031242970377207,1113.6051891688257
a_correction_lowt_stationary,mirafzali,a_correction,1,0.0007835924625396729,,1.7348165851777606,,0.0,1127.2,2.861467296257615,0.0027200281620025635,2.8641873244196177,824.096922762692,297.8403268195689,1.8509213030338287,1127.1993823572993
full_lowt_stationary,mirafzali,mirafzali_full,1,0.0032931268215179443,,1.6051283412893855,,0.0,1127.93,2.950459536164999,0.0027675163000822067,2.953227052465081,824.3440112043172,298.0608584545553,2.0134598035365343,1127.930137693882
